"APname","APnum","png","X","Y"
"7781-wwt-bowl-s21-s20-i-w","2c:5a:0f:70:d1:c6",1,2754,294
"7781-wwt-bowl-s22-s21-c-w","38:0e:4d:5b:01:a8",1,2480,176
"7781-wwt-bowl-s22-s21-i-w","70:db:98:e1:36:18",1,2580,202
"7781-wwt-bowl-s23e-f-c","70:db:98:66:4c:6c",2,2907,1645
"7781-wwt-bowl-s23-s22-i-w","70:db:98:e1:36:78",2,3071,1549
"7781-wwt-bowl-s24-s23-c-w","70:db:98:66:4d:72",2,2793,1539
"7781-wwt-bowl-s24-s23-i-w","70:db:98:e1:26:6c",2,2889,1533
"7781-wwt-bowl-s25e-b-c","70:db:98:e1:36:c4",2,2551,1655
"7781-wwt-bowl-s25e-f-c","70:db:98:66:5c:90",2,2553,1459
"7781-wwt-bowl-s25o-f-c","70:db:98:e1:36:26",2,2689,1635
"7781-wwt-bowl-s25-s24-c-w","70:db:98:66:68:4e",2,2611,1553
"7781-wwt-bowl-s25-s24-i-w","70:db:98:66:4c:3c",2,2701,1545
"7781-wwt-bowl-s26-s25-c-w","70:db:98:66:5c:32",2,2437,1573
"7781-wwt-bowl-s26-s25-i-w","70:db:98:66:4e:24",2,2523,1565
"7781-wwt-bowl-s27-b-c","70:db:98:66:5f:2e",2,2201,1395
"7781-wwt-bowl-s27-f-c","70:db:98:66:4c:9c",2,2303,1815
"7781-wwt-bowl-s27-s26-c-w","70:db:98:e1:38:ce",2,2257,1617
"7781-wwt-bowl-s27-s26-i-w","70:db:98:66:4e:6c",2,2335,1589
"7781-wwt-bowl-s28-b-c","70:db:98:e1:38:d2",2,2015,1457
"7781-wwt-bowl-s28-s27-i-w","2c:5a:0f:70:d2:18",2,2159,1635
"7781-wwt-bowl-s28-s27-w-c","70:db:98:e1:39:0c",2,2063,1659
"7781-wwt-bowl-s29o-f-c","70:db:98:e1:38:ca",2,2025,1923
"7781-wwt-bowl-s29-s28-i-w","70:db:98:e1:36:32",2,1983,1691
"7781-wwt-bowl-s29-s-28-w-c","70:db:98:66:5c:b4",2,1893,1725
"7781-wwt-bowl-s2-s1-c-w","70:db:98:e1:26:22",1,1176,2106
"7781-wwt-bowl-s2-s1-i-w","70:db:98:66:5c:28",1,1092,2074
"7781-wwt-bowl-s30-b-c","70:db:98:e1:38:ee",2,1617,1597
